epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,274.559,0.71597,0.46603,0.97894,0.8184,0.83709,0.86067,0.64589,1.04375,0.84826,1.1775,0.000307,0.000307,0.000307
44,279.981,0.7573,0.50413,1.02363,0.85567,0.82542,0.85668,0.65518,1.03511,0.75346,1.17474,0.0002905,0.0002905,0.0002905
45,284.029,0.69007,0.48563,0.99877,0.85886,0.83776,0.8536,0.63685,1.01058,0.74408,1.16099,0.000274,0.000274,0.000274
46,288.306,0.7401,0.44787,0.99481,0.82623,0.81526,0.83611,0.60186,1.0273,0.88295,1.17555,0.0002575,0.0002575,0.0002575
47,293.745,0.67562,0.4218,0.9797,0.82179,0.7937,0.83071,0.60905,1.01289,0.98789,1.15115,0.000241,0.000241,0.000241
48,298.085,0.71277,0.45451,0.99651,0.82796,0.79372,0.82574,0.61439,0.98807,0.94959,1.12703,0.0002245,0.0002245,0.0002245
49,302.306,0.65316,0.45388,0.96475,0.8269,0.79384,0.82052,0.6162,0.94855,0.92395,1.10607,0.000208,0.000208,0.000208
50,307.802,0.71012,0.44526,0.98493,0.79659,0.83233,0.85247,0.65077,0.93255,0.838,1.09667,0.0001915,0.0001915,0.0001915
51,336.942,0.5827,0.4091,0.92425,0.81273,0.8584,0.8409,0.64949,0.89741,0.78852,1.08355,0.000175,0.000175,0.000175
52,350.271,0.59046,0.36344,0.92165,0.80866,0.85694,0.85446,0.66815,0.88311,0.76066,1.07516,0.0001585,0.0001585,0.0001585
53,360.095,0.56843,0.34487,0.90222,0.81672,0.84423,0.86133,0.66846,0.89453,0.77678,1.07678,0.000142,0.000142,0.000142
54,366.102,0.56609,0.35547,0.91492,0.8449,0.82452,0.85494,0.66065,0.93006,0.82474,1.09051,0.0001255,0.0001255,0.0001255
55,372.09,0.53346,0.3185,0.90674,0.87419,0.81296,0.8396,0.64242,0.9441,0.85156,1.09413,0.000109,0.000109,0.000109
56,377.158,0.56208,0.36171,0.90713,0.86602,0.81296,0.8285,0.62307,0.95843,0.87776,1.1029,9.25e-05,9.25e-05,9.25e-05
57,380.967,0.56971,0.33441,0.91474,0.86116,0.81296,0.81973,0.61183,0.96306,0.89526,1.10642,7.6e-05,7.6e-05,7.6e-05
58,386.368,0.56088,0.35362,0.91309,0.84795,0.81296,0.81403,0.61439,0.96624,0.90354,1.11091,5.95e-05,5.95e-05,5.95e-05
59,390.84,0.53123,0.3214,0.90888,0.84434,0.81296,0.81403,0.61578,0.96592,0.90292,1.11401,4.3e-05,4.3e-05,4.3e-05
60,395.424,0.57376,0.34898,0.90784,0.84383,0.81296,0.81458,0.61654,0.95837,0.89987,1.11143,2.65e-05,2.65e-05,2.65e-05
